stationID;tz;obsTimeUtc;obsTimeLocal;epoch;lat;lon;solarRadiationHigh;uvHigh;winddirAvg;humidityHigh;humidityLow;humidityAvg;qcStatus;tempHigh;tempLow;windspeedHigh;windspeedLow;windspeedAvg;windgustHigh;windgustLow;windgustAvg;dewptHigh;dewptLow;dewptAvg;windchillHigh;windchillLow;windchillAvg;heatindexHigh;heatindexLow;heatindexAvg;pressureMax;pressureMin;pressureTrend;precipRate;precipTotal
IBLUMENA15;America/Sao_Paulo;2020-01-01T02:04:45Z;2019-12-31 23:04:45;1577844285;-26.80653;-49.09230423;0.0;0.0;104;85.0;84.0;84.0;-1;78.8;78.6;2.5;0.2;1.5;3.4;1.1;2.1;73.9;73.4;73.5;78.8;78.6;78.7;82.1;81.6;81.9;29.77;29.76;0.04;0.0;0.0
IBLUMENA15;America/Sao_Paulo;2020-01-01T02:09:49Z;2019-12-31 23:09:49;1577844589;-26.80653;-49.09230423;0.0;0.0;85;84.0;84.0;84.0;-1;78.6;78.6;2.7;0.7;1.6;3.4;1.1;2.2;73.4;73.4;73.4;78.6;78.6;78.6;81.6;81.6;81.6;29.77;29.76;-0.11;0.0;0.0
IBLUMENA15;America/Sao_Paulo;2020-01-01T02:14:53Z;2019-12-31 23:14:53;1577844893;-26.80653;-49.09230423;0.0;0.0;87;84.0;84.0;84.0;-1;78.6;78.6;3.4;0.4;1.5;3.4;1.1;2.0;73.4;73.4;73.4;78.6;78.6;78.6;81.6;81.6;81.6;29.76;29.76;0.04;0.0;0.0
IBLUMENA15;America/Sao_Paulo;2020-01-01T02:19:57Z;2019-12-31 23:19:57;1577845197;-26.80653;-49.09230423;0.0;0.0;140;85.0;84.0;84.8;-1;78.6;78.6;3.1;0.9;1.6;4.5;1.1;2.1;73.8;73.4;73.7;78.6;78.6;78.6;81.7;81.6;81.7;29.77;29.76;0.08;0.0;0.0
IBLUMENA15;America/Sao_Paulo;2020-01-01T02:24:45Z;2019-12-31 23:24:45;1577845485;-26.80653;-49.09230423;0.0;0.0;100;85.0;84.0;84.9;-1;78.6;78.6;2.5;0.9;1.7;3.4;1.1;2.1;73.8;73.4;73.7;78.6;78.6;78.6;81.7;81.6;81.7;29.77;29.75;-0.16;0.0;0.0
IBLUMENA15;America/Sao_Paulo;2020-01-01T02:29:49Z;2019-12-31 23:29:49;1577845789;-26.80653;-49.09230423;0.0;0.0;111;85.0;85.0;85.0;-1;78.6;78.6;2.2;0.7;1.4;3.4;1.1;1.9;73.8;73.8;73.8;78.6;78.6;78.6;81.7;81.7;81.7;29.76;29.75;-0.04;0.0;0.0
IBLUMENA15;America/Sao_Paulo;2020-01-01T02:34:53Z;2019-12-31 23:34:53;1577846093;-26.80653;-49.09230423;0.0;0.0;88;85.0;85.0;85.0;-1;78.6;78.6;3.1;1.1;2.0;3.4;1.1;2.4;73.8;73.8;73.8;78.6;78.6;78.6;81.7;81.7;81.7;29.76;29.74;-0.08;0.0;0.0
IBLUMENA15;America/Sao_Paulo;2020-01-01T02:39:57Z;2019-12-31 23:39:57;1577846397;-26.80653;-49.09230423;0.0;0.0;104;85.0;85.0;85.0;-1;78.6;78.4;2.7;0.9;1.8;3.4;1.1;2.1;73.8;73.6;73.8;78.6;78.4;78.6;81.7;79.9;81.3;29.75;29.75;0.0;0.0;0.0
IBLUMENA15;America/Sao_Paulo;2020-01-01T02:44:45Z;2019-12-31 23:44:45;1577846685;-26.80653;-49.09230423;0.0;0.0;85;85.0;85.0;85.0;-1;78.6;78.4;3.8;0.7;1.9;5.8;1.1;2.5;73.8;73.6;73.7;78.6;78.4;78.5;81.7;79.9;81.2;29.75;29.74;-0.04;0.0;0.0
IBLUMENA15;America/Sao_Paulo;2020-01-01T02:49:49Z;2019-12-31 23:49:49;1577846989;-26.80653;-49.09230423;0.0;0.0;56;85.0;85.0;85.0;-1;78.6;78.6;3.4;0.7;2.2;3.4;1.1;2.7;73.8;73.8;73.8;78.6;78.6;78.6;81.7;81.7;81.7;29.75;29.74;-0.04;0.0;0.0
IBLUMENA15;America/Sao_Paulo;2020-01-01T02:54:53Z;2019-12-31 23:54:53;1577847293;-26.80653;-49.09230423;0.0;0.0;52;86.0;85.0;85.5;-1;78.4;78.4;3.8;1.3;2.7;4.5;2.2;3.3;73.9;73.6;73.8;78.4;78.4;78.4;80.0;79.9;80.0;29.75;29.74;0.08;0.0;0.0
IBLUMENA15;America/Sao_Paulo;2020-01-01T02:59:57Z;2019-12-31 23:59:57;1577847597;-26.80653;-49.09230423;0.0;0.0;41;86.0;86.0;86.0;-1;78.4;78.3;3.6;1.8;2.7;4.5;2.2;3.3;73.9;73.8;73.8;78.4;78.3;78.3;80.0;79.9;79.9;29.75;29.74;-0.11;0.0;0.0
IBLUMENA15;America/Sao_Paulo;2020-01-01T03:04:45Z;2020-01-01 00:04:45;1577847885;-26.80653;-49.09230423;0.0;0.0;51;86.0;86.0;86.0;-1;78.3;78.3;4.0;1.3;2.8;4.5;2.2;3.5;73.8;73.8;73.8;78.3;78.3;78.3;79.9;79.9;79.9;29.74;29.74;0.04;0.0;0.0
IBLUMENA15;America/Sao_Paulo;2020-01-01T03:09:49Z;2020-01-01 00:09:49;1577848189;-26.80653;-49.09230423;0.0;0.0;62;86.0;86.0;86.0;-1;78.3;78.1;3.6;1.3;2.5;4.5;2.2;3.2;73.8;73.6;73.7;78.3;78.1;78.2;79.9;79.7;79.7;29.74;29.73;-0.1;0.0;0.0
IBLUMENA15;America/Sao_Paulo;2020-01-01T03:14:53Z;2020-01-01 00:14:53;1577848493;-26.80653;-49.09230423;0.0;0.0;96;86.0;86.0;86.0;-1;78.3;78.3;2.5;0.2;1.4;3.4;1.1;1.9;73.8;73.8;73.8;78.3;78.3;78.3;79.9;79.9;79.9;29.74;29.73;0.04;0.0;0.0
IBLUMENA15;America/Sao_Paulo;2020-01-01T03:19:57Z;2020-01-01 00:19:57;1577848797;-26.80653;-49.09230423;0.0;0.0;102;87.0;86.0;86.8;-1;78.3;78.1;2.9;0.4;1.5;3.4;1.1;1.9;74.1;73.8;73.9;78.3;78.1;78.2;79.9;79.7;79.7;29.74;29.72;-0.04;0.0;0.0
IBLUMENA15;America/Sao_Paulo;2020-01-01T03:24:45Z;2020-01-01 00:24:45;1577849085;-26.80653;-49.09230423;0.0;0.0;131;87.0;87.0;87.0;-1;78.1;77.9;1.1;0.2;0.9;1.1;1.1;1.1;73.9;73.8;73.9;78.1;77.9;78.0;79.7;79.5;79.6;29.74;29.72;-0.12;0.0;0.0
IBLUMENA15;America/Sao_Paulo;2020-01-01T03:29:49Z;2020-01-01 00:29:49;1577849389;-26.80653;-49.09230423;0.0;0.0;126;87.0;87.0;87.0;-1;78.1;77.9;2.0;0.0;0.5;2.2;0.0;0.8;73.9;73.8;73.8;78.1;77.9;77.9;79.7;79.5;79.5;29.73;29.72;0.08;0.0;0.0
IBLUMENA15;America/Sao_Paulo;2020-01-01T03:34:53Z;2020-01-01 00:34:53;1577849693;-26.80653;-49.09230423;0.0;0.0;144;87.0;87.0;87.0;-1;77.9;77.9;1.3;0.0;0.6;2.2;0.0;0.9;73.8;73.8;73.8;77.9;77.9;77.9;79.5;79.5;79.5;29.73;29.72;0.0;0.0;0.0
IBLUMENA15;America/Sao_Paulo;2020-01-01T03:39:57Z;2020-01-01 00:39:57;1577849997;-26.80653;-49.09230423;0.0;0.0;121;88.0;87.0;87.3;-1;77.9;77.7;2.2;0.0;0.5;2.2;0.0;0.8;74.1;73.8;73.9;77.9;77.7;77.9;79.5;79.3;79.5;29.73;29.72;-0.08;0.0;0.0
IBLUMENA15;America/Sao_Paulo;2020-01-01T03:44:45Z;2020-01-01 00:44:45;1577850285;-26.80653;-49.09230423;0.0;0.0;109;88.0;88.0;88.0;-1;77.7;77.7;2.2;0.0;1.0;2.2;0.0;1.5;73.9;73.9;73.9;77.7;77.7;77.7;79.3;79.3;79.3;29.73;29.72;0.04;0.0;0.0
IBLUMENA15;America/Sao_Paulo;2020-01-01T03:49:49Z;2020-01-01 00:49:49;1577850589;-26.80653;-49.09230423;0.0;0.0;119;88.0;88.0;88.0;-1;77.7;77.7;2.2;0.2;1.1;2.2;1.1;1.6;73.9;73.9;73.9;77.7;77.7;77.7;79.3;79.3;79.3;29.73;29.72;-0.08;0.0;0.0
IBLUMENA15;America/Sao_Paulo;2020-01-01T03:54:53Z;2020-01-01 00:54:53;1577850893;-26.80653;-49.09230423;0.0;0.0;117;88.0;88.0;88.0;-1;77.7;77.7;2.2;0.0;1.2;3.4;0.0;1.6;73.9;73.9;73.9;77.7;77.7;77.7;79.3;79.3;79.3;29.72;29.71;-0.04;0.0;0.0
IBLUMENA15;America/Sao_Paulo;2020-01-01T03:59:57Z;2020-01-01 00:59:57;1577851197;-26.80653;-49.09230423;0.0;0.0;126;88.0;88.0;88.0;-1;77.7;77.5;1.3;0.2;0.9;2.2;1.1;1.4;73.9;73.8;73.8;77.7;77.5;77.6;79.3;79.1;79.1;29.72;29.71;-0.11;0.0;0.0
IBLUMENA15;America/Sao_Paulo;2020-01-01T04:04:45Z;2020-01-01 01:04:45;1577851485;-26.80653;-49.09230423;0.0;0.0;133;88.0;88.0;88.0;-1;77.5;77.5;1.6;0.0;0.6;2.2;0.0;1.0;73.8;73.8;73.8;77.5;77.5;77.5;79.1;79.1;79.1;29.72;29.71;0.04;0.0;0.0
IBLUMENA15;America/Sao_Paulo;2020-01-01T04:09:49Z;2020-01-01 01:09:49;1577851789;-26.80653;-49.09230423;0.0;0.0;160;88.0;88.0;88.0;-1;77.5;77.5;1.1;0.0;0.7;1.1;0.0;1.0;73.8;73.8;73.8;77.5;77.5;77.5;79.1;79.1;79.1;29.71;29.71;0.0;0.0;0.0
IBLUMENA15;America/Sao_Paulo;2020-01-01T04:14:53Z;2020-01-01 01:14:53;1577852093;-26.80653;-49.09230423;0.0;0.0;155;89.0;88.0;88.5;-1;77.5;77.4;1.8;0.0;0.8;2.2;0.0;1.2;73.9;73.6;73.8;77.5;77.4;77.4;79.1;79.0;79.0;29.71;29.71;-0.04;0.0;0.0
IBLUMENA15;America/Sao_Paulo;2020-01-01T04:19:57Z;2020-01-01 01:19:57;1577852397;-26.80653;-49.09230423;0.0;0.0;129;89.0;89.0;89.0;-1;77.4;77.4;2.9;0.0;0.9;3.4;0.0;1.4;73.8;73.8;73.8;77.4;77.4;77.4;79.0;79.0;79.0;29.71;29.7;-0.04;0.0;0.0
IBLUMENA15;America/Sao_Paulo;2020-01-01T04:24:45Z;2020-01-01 01:24:45;1577852685;-26.80653;-49.09230423;0.0;0.0;146;89.0;89.0;89.0;-1;77.4;77.2;0.9;0.0;0.5;1.1;0.0;0.9;73.8;73.6;73.8;77.4;77.2;77.4;79.0;78.8;79.0;29.71;29.71;0.08;0.0;0.0
IBLUMENA15;America/Sao_Paulo;2020-01-01T04:29:49Z;2020-01-01 01:29:49;1577852989;-26.80653;-49.09230423;0.0;0.0;177;89.0;89.0;89.0;-1;77.4;77.2;2.5;0.2;1.2;3.4;1.1;1.7;73.8;73.6;73.7;77.4;77.2;77.3;79.0;78.8;78.9;29.71;29.7;-0.11;0.0;0.0
IBLUMENA15;America/Sao_Paulo;2020-01-01T04:34:53Z;2020-01-01 01:34:53;1577853293;-26.80653;-49.09230423;0.0;0.0;162;89.0;89.0;89.0;-1;77.2;77.2;3.1;0.7;1.4;3.4;1.1;2.2;73.6;73.6;73.6;77.2;77.2;77.2;78.8;78.8;78.8;29.71;29.7;0.08;0.0;0.0
